,Continent,country,CO2_per_capita_2016,crimeIndex,epi_score2022,happiness2021,fem_life_expectancy,male_life_expectancy,religion,homosexuality_score,avg_schooling,malnourishment_2016_18,protein_supply_2017,political_stability_2020,food_insecurity_2017,obesity_2016
189,Oceania,Australia,17.1,43.03,87.0,7.183,85.8,82.08,christians,10,13,2.5,107.0,0.85,12.7,29.0
190,Oceania,Fiji,1.95,57.62,34.6,7.23,69.97,66.0,christians,3,10,6.2,73.0,0.75,16.533333333333335,30.2
191,Oceania,Kiribati,0.47,56.08,16.3,7.23,73.12,65.0,christians,3,10,3.4,71.0,1.08,16.533333333333335,46.0
192,Oceania,Marshall Islands,3.4509999999999996,56.08,32.2,7.23,74.96090909090908,70.71363636363637,christians,3,10,9.0375,76.875,0.59,16.533333333333335,52.9
193,Oceania,Micronesia,3.4509999999999996,56.08,35.5,7.23,77.2,71.14,christians,3,10,9.0375,76.875,0.8269230769230768,16.533333333333335,40.10000000000001
194,Oceania,Micronesia,3.4509999999999996,56.08,35.5,7.23,70.07,66.54,christians,3,10,9.0375,76.875,0.8269230769230768,16.533333333333335,40.10000000000001
195,Oceania,Nauru,3.4509999999999996,56.08,39.32727272727273,7.23,74.96090909090908,70.71363636363637,christians,1,10,9.0375,76.875,0.94,16.533333333333335,61.0
196,Oceania,New Zealand,7.14,42.88,80.4,7.277,84.38,81.2,christians,10,13,2.5,94.7,1.49,13.3,30.8
197,Oceania,Palau,2.35,56.08,39.32727272727273,7.23,74.96090909090908,70.71363636363637,christians,1,10,9.0375,76.875,0.89,16.533333333333335,55.3
198,Oceania,Papua New Guinea,1.1,80.79,15.5,7.23,66.62,63.92,christians,1,5,23.1,64.3,-0.74,16.533333333333335,21.3
199,Oceania,Samoa,0.87,56.08,49.2,7.23,75.97,71.69,christians,3,10,4.6,87.7,1.16,23.6,47.3
200,Oceania,Solomon Islands,0.55,56.08,14.0,7.23,75.31,71.6,christians,0,10,17.7,53.3,0.64,16.533333333333335,22.5
201,Oceania,Tonga,2.49,56.08,46.4,7.23,73.38,69.28,christians,1,10,9.0375,76.875,1.02,16.533333333333335,48.2
202,Oceania,Tuvalu,3.4509999999999996,56.08,39.32727272727273,7.23,74.96090909090908,70.71363636363637,christians,3,10,9.0375,76.875,1.18,16.533333333333335,51.6
203,Oceania,Vanuatu,0.49,56.08,21.5,7.23,72.75,69.4,christians,3,10,12.3,64.0,0.9,16.533333333333335,25.2
204,South America,Argentina,4.61,63.82,64.7,5.929,80.42,73.82,christians,10,11,3.1,105.7,0.04,32.3,28.3
